match_id,data,team_a_nome,team_b_nome,elo_a,elo_b,elo_diferenca,forma_recente_a,forma_recente_b,jogos_historico_a,jogos_historico_b,h2h_winrate_a,h2h_jogos,team_a_venceu,forma_recente_a_tinha_dados,forma_recente_b_tinha_dados,h2h_winrate_a_tinha_dados
630,2023-10-04 16:00:00,Looking4Org,Bad News Eagles,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,1,0,0,0
1006,2023-10-09 13:30:00,Looking4Org,Spirit,1516.0,1500.0,16.0,1.0,0.5,1,0,0.5,0,0,1,0,0
919,2023-10-09 13:30:00,Aurora,Apeks,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
1008,2023-10-09 18:00:00,Looking4Org,BIG,1499.263693206478,1500.0,-0.7363067935220897,0.5,0.5,2,0,0.5,0,1,1,0,0
2930,2023-10-09 18:00:00,Apeks,Movistar Riders,1516.0,1500.0,16.0,1.0,0.5,1,0,0.5,0,0,1,0,0
1010,2023-10-10 13:30:00,Looking4Org,Apeks,1515.2976013366472,1499.263693206478,16.033908130169266,0.6666666666666666,0.5,3,2,0.5,0,1,1,1,0
2823,2023-10-10 18:00:00,Spirit,Movistar Riders,1516.736306793522,1516.736306793522,0.0,1.0,1.0,1,1,0.5,0,1,1,1,0
798,2023-10-10 18:00:00,Looking4Org,Aurora,1530.559736329974,1484.0,46.55973632997393,0.75,0.0,4,1,0.5,0,1,1,1,0
1009,2023-10-11 13:30:00,Looking4Org,Movistar Riders,1544.4283250370925,1500.736306793522,43.692018243570374,0.8,0.5,5,2,0.5,0,1,1,1,0
1007,2023-10-11 18:00:00,Looking4Org,Spirit,1558.426773315451,1532.736306793522,25.69046652192901,0.8333333333333334,1.0,6,2,0.0,1,1,1,1,1
127,2023-10-13 17:00:00,Looking4Org,SAW,1573.2458351189664,1500.0,73.2458351189664,0.8571428571428571,0.5,7,0,0.5,0,1,1,0,0
219,2023-10-13 17:00:00,Movistar Riders,1win,1486.7378585151635,1500.0,-13.262141484836548,0.3333333333333333,0.5,3,0,0.5,0,0,1,0,0
1934,2023-10-16 01:30:00,Natus Vincere,Apeks,1500.0,1484.0015582131512,15.998441786848844,0.5,0.3333333333333333,0,3,0.5,0,1,0,1,0
1184,2023-10-16 02:30:00,BetBoom,Vitality,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,1,0,0,0
2801,2023-10-16 02:45:00,FaZe,GamerLegion,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
2154,2023-10-16 03:55:00,Lynn Vision,ENCE,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
2265,2023-10-16 04:20:00,Cloud9,fnatic,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
2581,2023-10-16 05:05:00,Grayhound,G2,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
760,2023-10-16 05:45:00,Complexity,Monte,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,1,0,0,0
1657,2023-10-16 07:15:00,MOUZ,Natus Vincere,1500.0,1515.263764812893,-15.263764812892987,0.5,1.0,0,1,0.5,0,1,0,1,0
1190,2023-10-16 08:30:00,BetBoom,GamerLegion,1516.0,1516.0,0.0,1.0,1.0,1,1,0.5,0,1,1,1,0
2785,2023-10-16 10:25:00,Vitality,FaZe,1484.0,1484.0,0.0,0.0,0.0,1,1,0.5,0,0,1,1,0
2304,2023-10-17 02:30:00,Complexity,G2,1516.0,1516.0,0.0,1.0,1.0,1,1,0.5,0,0,1,1,0
785,2023-10-17 02:30:00,Monte,Grayhound,1484.0,1484.0,0.0,0.0,0.0,1,1,0.5,0,1,1,1,0
2117,2023-10-17 05:30:00,ENCE,fnatic,1516.0,1516.0,0.0,1.0,1.0,1,1,0.5,0,1,1,1,0
2444,2023-10-17 05:30:00,Lynn Vision,Cloud9,1484.0,1484.0,0.0,0.0,0.0,1,1,0.5,0,0,1,1,0
3024,2023-10-17 08:30:00,Apeks,GamerLegion,1468.7377934002582,1500.0,-31.26220659974183,0.25,0.5,4,2,0.5,0,0,1,1,0
1875,2023-10-17 09:05:00,FaZe,Natus Vincere,1500.0,1498.5612943491276,1.4387056508724072,0.5,0.5,2,2,0.5,0,1,1,1,0
759,2023-10-18 02:30:00,Monte,fnatic,1500.0,1500.0,0.0,0.5,0.5,2,2,0.5,0,1,1,1,0
2296,2023-10-18 02:30:00,Complexity,Cloud9,1500.0,1500.0,0.0,0.5,0.5,2,2,0.5,0,1,1,1,0
2802,2023-10-18 05:30:00,FaZe,GamerLegion,1515.9337455349962,1514.564195031162,1.3695505038342617,0.6666666666666666,0.6666666666666666,3,3,0.0,1,1,1,1,1
1118,2023-10-18 05:30:00,BetBoom,MOUZ,1532.0,1516.7024704637654,15.297529536234606,1.0,1.0,2,1,0.5,0,0,1,1,0
761,2023-10-18 08:45:00,Complexity,Monte,1516.0,1516.0,0.0,0.6666666666666666,0.6666666666666666,3,3,1.0,1,1,1,1,1
2126,2023-10-18 09:05:00,G2,ENCE,1532.0,1532.0,0.0,1.0,1.0,2,2,0.5,0,1,1,1,0
2996,2023-10-19 23:00:00,MIBR,9z,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,1,0,0,0
1134,2023-10-20 05:30:00,Complexity,BetBoom,1532.0,1515.2959776171526,16.70402238284737,0.75,0.6666666666666666,4,3,0.5,0,1,1,1,0
2138,2023-10-20 08:30:00,ENCE,FaZe,1516.0,1531.8706757301802,-15.87067573018021,0.6666666666666666,0.75,3,4,0.5,0,0,1,1,0
1005,2023-10-20 14:00:00,Looking4Org,Spirit,1585.9218388291433,1517.9172449900068,68.00459383913653,0.875,0.6666666666666666,8,3,0.5,2,0,1,1,1
2305,2023-10-21 05:30:00,Complexity,G2,1547.231343499451,1548.0,-0.7686565005490138,0.8,1.0,5,3,0.0,1,1,1,1,1
1725,2023-10-21 08:30:00,FaZe,MOUZ,1547.1403120283394,1533.4064928466128,13.73381918172663,0.8,1.0,5,2,0.5,0,1,1,1,0
2315,2023-10-22 07:30:00,FaZe,Complexity,1562.508175496104,1563.2667413816944,-0.7585658855903148,0.8333333333333334,0.8333333333333334,6,6,0.5,0,1,1,1,0
940,2023-10-24 12:15:00,BIG,9 Pandas,1483.9660918698307,1500.0,-16.033908130169266,0.0,0.5,1,0,0.5,0,0,1,0,0
20,2023-10-25 09:00:00,9INE,Spirit,1500.0,1537.0095821880918,-37.00958218809183,0.5,0.75,0,4,0.5,0,0,0,1,0
2932,2023-10-25 13:00:00,Movistar Riders,9z,1471.3483062424464,1484.0,-12.65169375755363,0.25,0.0,4,1,0.5,0,1,1,1,0
884,2023-10-25 13:00:00,HEROIC,Aurora,1500.0,1470.1314112928815,29.868588707118533,0.5,0.0,0,2,0.5,0,1,0,1,0
2820,2023-10-25 14:00:00,BIG,Spirit,1468.703956876504,1551.3116452348327,-82.60768835832869,0.0,0.8,2,5,0.5,0,1,1,1,0
416,2023-10-25 16:40:00,Eternal Fire,FURIA,1500.0,1500.0,0.0,0.5,0.5,0,0,0.5,0,0,0,0,0
2378,2023-10-25 17:00:00,Spirit,Virtus.pro,1531.5775223137052,1500.0,31.57752231370523,0.6666666666666666,0.5,6,0,0.5,0,0,1,0,0
25,2023-10-25 17:00:00,Movistar Riders,9INE,1487.9306808814592,1485.6979369532594,2.2327439281998522,0.4,0.0,5,1,0.5,0,1,1,1,0
19,2023-10-26 13:00:00,Astralis,9INE,1500.0,1469.80075719555,30.199242804450023,0.5,0.0,0,2,0.5,0,0,0,1,0
1603,2023-10-26 16:00:00,Ninjas in Pyjamas,fnatic,1500.0,1484.0,16.0,0.5,0.3333333333333333,0,3,0.5,0,1,0,1,0
2921,2023-10-26 16:00:00,Apeks,BIG,1454.1735983690965,1488.4380797976314,-34.264481428534964,0.2,0.3333333333333333,5,3,0.5,0,0,1,1,0
2266,2023-10-27 08:00:00,fnatic,Cloud9,1468.736306793522,1484.0,-15.26369320647791,0.25,0.3333333333333333,4,3,1.0,1,0,1,1,1
2400,2023-10-27 12:00:00,Movistar Riders,Virtus.pro,1503.8278606391686,1517.4502076827682,-13.622347043599575,0.5,1.0,6,1,0.5,0,0,1,1,0
2876,2023-10-27 13:00:00,HEROIC,FURIA,1514.6278792673777,1516.0,-1.3721207326223066,1.0,1.0,1,1,0.5,0,0,1,1,0
1607,2023-10-27 14:30:00,Ninjas in Pyjamas,Virtus.pro,1515.263693206478,1532.8231966840233,-17.559503477545377,1.0,1.0,1,2,0.5,0,0,1,1,0
2855,2023-10-27 16:00:00,9z,Spirit,1467.4176253609871,1514.127314630937,-46.70968926994988,0.0,0.5714285714285714,2,7,0.5,0,1,1,1,0
346,2023-10-27 16:25:00,Aurora,Eternal Fire,1455.5035320255038,1484.0,-28.496467974496227,0.0,0.0,3,1,0.5,0,1,1,1,0
218,2023-10-27 17:15:00,Looking4Org,1win,1566.8295016310583,1515.389552272717,51.43994935834121,0.7777777777777778,1.0,9,1,0.5,0,0,1,1,0
1604,2023-10-28 08:00:00,Ninjas in Pyjamas,fnatic,1500.0716504145748,1453.4387739660467,46.63287644852812,0.5,0.2,2,5,1.0,1,0,1,1,1
2348,2023-10-28 11:00:00,Cloud9,Virtus.pro,1499.2975328274754,1548.0152394759264,-48.717706648450985,0.5,1.0,4,3,0.5,0,1,1,1,0
23,2023-10-28 13:00:00,BIG,9INE,1502.8652380283695,1487.1879918878453,15.677246140524176,0.5,0.3333333333333333,4,3,0.5,0,1,1,1,0
745,2023-10-28 13:00:00,Ninjas in Pyjamas,Monte,1481.9369307593265,1500.0,-18.063069240673485,0.3333333333333333,0.5,3,4,0.5,0,0,1,1,0
2745,2023-10-28 16:35:00,Astralis,Apeks,1482.6127653077046,1439.7464401383584,42.86632516934628,0.0,0.16666666666666666,1,6,0.5,0,0,1,1,0
774,2023-10-28 17:00:00,Monte,FaZe,1515.1689135747176,1578.5431086906003,-63.374195115882685,0.6,0.8571428571428571,5,7,0.5,0,0,1,1,0
2264,2023-10-29 09:00:00,fnatic,Virtus.pro,1471.573493621295,1529.786295472245,-58.21280185094997,0.3333333333333333,0.75,6,4,0.5,0,0,1,1,0
2321,2023-10-29 13:00:00,Complexity,Spirit,1547.231808187198,1495.989120685255,51.24268750194301,0.7142857142857143,0.5,7,8,0.5,0,0,1,1,0
885,2023-10-29 14:00:00,HEROIC,Aurora,1498.691067433761,1472.8129080497474,25.878159384013543,0.5,0.25,2,4,1.0,1,0,1,1,1
