match_id,rating_medio_lineup_a,rating_medio_lineup_b,roster_estabilidade_a,roster_estabilidade_b,rating_medio_lineup_a_tinha_dados,rating_medio_lineup_b_tinha_dados,roster_estabilidade_a_tinha_dados,roster_estabilidade_b_tinha_dados
630,1.0,1.0,0.5,0.5,0,0,0,0
1006,1.242,1.0,1.0,0.5,1,0,1,0
919,1.0,1.0,0.5,0.5,0,0,0,0
1008,1.0939999999999999,1.0,1.0,0.5,1,0,1,0
2930,1.168,1.0,1.0,0.5,1,0,1,0
1010,1.0973333333333333,1.056,1.0,1.0,1,1,1,1
2823,1.144,1.21,1.0,1.0,1,1,1,1
798,1.1335000000000002,0.9560000000000001,1.0,1.0,1,1,1,1
1009,1.1480000000000001,0.873,1.0,1.0,1,1,1,1
1007,1.1496666666666666,1.433,1.0,1.0,1,1,1,1
127,1.1705714285714286,1.0,1.0,0.5,1,0,1,0
219,0.916,1.0,1.0,0.5,1,0,1,0
1934,1.0,1.018,0.5,1.0,0,1,0,1
1184,1.0,1.0,0.5,0.5,0,0,0,0
2801,1.0,1.0,0.5,0.5,0,0,0,0
2154,1.0,1.0,0.5,0.5,0,0,0,0
2265,1.0,1.0,0.5,0.5,0,0,0,0
2581,1.0,1.0,0.5,0.5,0,0,0,0
760,1.0,1.0,0.5,0.5,0,0,0,0
1657,1.0,1.224,0.5,1.0,0,1,0,1
1190,1.1059999999999999,1.166,1.0,1.0,1,1,1,1
2785,1.092,0.954,1.0,1.0,1,1,1,1
2304,1.222,1.126,1.0,1.0,1,1,1,1
785,0.9620000000000001,0.99,1.0,1.0,1,1,1,1
2117,1.274,1.098,1.0,1.0,1,1,1,1
2444,0.8959999999999999,0.984,1.0,1.0,1,1,1,1
3024,1.001,1.028,1.0,1.0,1,1,1,1
1875,1.096,0.99,1.0,1.0,1,1,1,1
759,1.03,1.074,1.0,1.0,1,1,1,1
2296,1.107,1.126,1.0,1.0,1,1,1,1
2802,1.1620000000000001,1.0726666666666667,1.0,1.0,1,1,1,1
1118,1.2129999999999999,1.324,1.0,1.0,1,1,1,1
761,1.2286666666666666,1.1033333333333333,1.0,1.0,1,1,1,1
2126,1.139,1.192,1.0,1.0,1,1,1,1
2996,1.0,1.0,0.5,0.5,0,0,0,0
1134,1.215,1.1179999999999999,1.0,1.0,1,1,1,1
2138,1.1233333333333335,1.2075,1.0,1.0,1,1,1,1
1005,1.16725,1.252,1.0,1.0,1,1,1,1
2305,1.1972,1.196,1.0,1.0,1,1,1,1
1725,1.3108,1.241,1.0,1.0,1,1,1,1
2315,1.2933333333333334,1.235,1.0,1.0,1,1,1,1
940,1.008,1.0,1.0,0.5,1,0,1,0
20,1.0,1.205,0.5,1.0,0,1,0,1
2932,0.8644999999999999,1.052,1.0,1.0,1,1,1,1
884,1.0,0.9349999999999999,0.5,1.0,0,1,0,1
2820,0.9259999999999999,1.2484,1.0,1.0,1,1,1,1
416,1.0,1.0,0.5,0.5,0,0,0,0
2378,1.194,1.0,1.0,0.5,1,0,1,0
25,0.9279999999999999,0.708,1.0,1.0,1,1,1,1
19,1.0,0.836,0.5,1.0,0,1,0,1
1603,1.0,1.044,0.5,1.0,0,1,0,1
2921,1.0048,1.0273333333333334,1.0,1.0,1,1,1,1
2266,0.967,1.1646666666666667,1.0,0.8,1,1,1,1
2400,0.9626666666666667,1.0559999999999998,1.0,1.0,1,1,1,1
2876,1.232,1.066,1.0,1.0,1,1,1,1
