mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
236101,1787841000000,13286,FUT,11,12468,Legacy,13,Legacy,Dust2,8249,BLAST Open Porto 2026
236091,1787841000000,12468,Legacy,13,13286,FUT,10,Legacy,Ancient,8249,BLAST Open Porto 2026
236076,1787832000000,9996,9z,7,4494,MOUZ,13,MOUZ,Nuke,8249,BLAST Open Porto 2026
236067,1787832000000,4494,MOUZ,13,9996,9z,4,MOUZ,Cache,8249,BLAST Open Porto 2026
236058,1787821200000,13117,Inner Circle,16,9565,Vitality,13,Inner Circle,Cache,8249,BLAST Open Porto 2026
236054,1787821200000,9565,Vitality,8,13117,Inner Circle,13,Inner Circle,Anubis,8249,BLAST Open Porto 2026
236003,1787766900000,4773,paiN,6,8297,FURIA,13,FURIA,Cache,8249,BLAST Open Porto 2026
235998,1787766900000,8297,FURIA,13,4773,paiN,2,FURIA,Mirage,8249,BLAST Open Porto 2026
235993,1787754300000,12376,M80,13,4608,Natus Vincere,6,M80,Inferno,8249,BLAST Open Porto 2026
235985,1787754300000,12376,M80,13,4608,Natus Vincere,6,M80,Mirage,8249,BLAST Open Porto 2026
235978,1787754300000,12376,M80,4,4608,Natus Vincere,13,Natus Vincere,Anubis,8249,BLAST Open Porto 2026
235955,1787745300000,13926,DENDELE,7,7020,Spirit,13,Spirit,Cache,8249,BLAST Open Porto 2026
235946,1787745300000,13926,DENDELE,8,7020,Spirit,13,Spirit,Ancient,8249,BLAST Open Porto 2026
235937,1787734800000,11861,Aurora,12,5995,G2,16,G2,Anubis,8249,BLAST Open Porto 2026
235928,1787734800000,11861,Aurora,5,5995,G2,13,G2,Inferno,8249,BLAST Open Porto 2026
235739,1787487300000,13286,FUT,5,7020,Spirit,13,Spirit,Nuke,8261,Esports World Cup 2026
235731,1787487300000,7020,Spirit,16,13286,FUT,14,Spirit,Ancient,8261,Esports World Cup 2026
235722,1787487300000,7020,Spirit,16,13286,FUT,13,Spirit,Anubis,8261,Esports World Cup 2026
