match_id,data,evento_id,evento_nome,team_a_id,team_a_nome,team_b_id,team_b_nome,mapas_ganhos_a,mapas_ganhos_b,num_mapas,mapas_jogados,mapstat_ids,vencedor_id,vencedor_nome
630,2023-10-04 16:00:00,7416,ESL Challenger Jönköping 2023 Europe Open Qualifier,12260,Looking4Org,11518,Bad News Eagles,1,0,1,Anubis,163825,12260,Looking4Org
1006,2023-10-09 13:30:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,7020,Spirit,1,2,3,"Vertigo,Nuke,Anubis","164142,164139,164133",7020,Spirit
919,2023-10-09 13:30:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,11861,Aurora,9806,Apeks,0,2,2,"Anubis,Ancient","164135,164131",9806,Apeks
1008,2023-10-09 18:00:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,7532,BIG,2,1,3,"Anubis,Ancient,Inferno","164161,164157,164149",12260,Looking4Org
2930,2023-10-09 18:00:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,9806,Apeks,7718,Movistar Riders,1,2,3,"Ancient,Overpass,Vertigo","164162,164160,164148",7718,Movistar Riders
1010,2023-10-10 13:30:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,9806,Apeks,2,0,2,"Ancient,Inferno","164175,164170",12260,Looking4Org
2823,2023-10-10 18:00:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,7020,Spirit,7718,Movistar Riders,2,0,2,"Overpass,Anubis","164185,164179",7020,Spirit
798,2023-10-10 18:00:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,11861,Aurora,2,0,2,"Nuke,Anubis","164186,164180",12260,Looking4Org
1009,2023-10-11 13:30:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,7718,Movistar Riders,2,1,3,"Overpass,Vertigo,Anubis","164222,164221,164218",12260,Looking4Org
1007,2023-10-11 18:00:00,7417,ESL Challenger Jönköping 2023 Europe Closed Qualifier,12260,Looking4Org,7020,Spirit,2,0,2,"Nuke,Anubis","164224,164223",12260,Looking4Org
219,2023-10-13 17:00:00,7288,ESL Challenger League Season 46 Europe,7718,Movistar Riders,10621,1win,0,2,2,"Nuke,Ancient","164326,164322",10621,1win
127,2023-10-13 17:00:00,7288,ESL Challenger League Season 46 Europe,12260,Looking4Org,10567,SAW,2,0,2,"Ancient,Anubis","164330,164324",12260,Looking4Org
1934,2023-10-16 01:30:00,6865,IEM Sydney 2023,4608,Natus Vincere,9806,Apeks,1,0,1,Mirage,164487,4608,Natus Vincere
1184,2023-10-16 02:30:00,6865,IEM Sydney 2023,12394,BetBoom,9565,Vitality,1,0,1,Mirage,164488,12394,BetBoom
2801,2023-10-16 02:45:00,6865,IEM Sydney 2023,6667,FaZe,9928,GamerLegion,0,1,1,Nuke,164490,9928,GamerLegion
2154,2023-10-16 03:55:00,6865,IEM Sydney 2023,8840,Lynn Vision,4869,ENCE,0,1,1,Anubis,164493,4869,ENCE
2265,2023-10-16 04:20:00,6865,IEM Sydney 2023,5752,Cloud9,4991,fnatic,0,1,1,Inferno,164494,4991,fnatic
2581,2023-10-16 05:05:00,6865,IEM Sydney 2023,8008,Grayhound,5995,G2,0,1,1,Nuke,164495,5995,G2
